English,Arabic
abandon,تخلى
ability,قدرة
able,قادر
abortion,إجهاض
about,حول
above,فوق
abroad,خارج البلاد
absence,غياب
absolute,مطلق
absolutely,إطلاقا
absorb,تمتص
abuse,تعاطي
academic,الأكاديمي
accept,قبول
access,التمكن من
accident,حادثة
accompany,مرافقة
accomplish,ينجز
according,تبعا
account,الحساب
accurate,دقيق
accuse,اتهم
achieve,التوصل
achievement,إنجاز
acid,حامض
acknowledge,الإقرار
acquire,يستحوذ على
across,عير
act,يمثل
action,عمل
active,نشيط
activist,الناشط
activity,نشاط
actor,الممثل
actress,ممثلة
actual,فعلي
actually,في الواقع
ad,ميلادي
adapt,يتكيف
add,يضيف
addition,إضافة
additional,إضافي
address,عنوان
adequate,مناسب
adjust,يعدل
adjustment,تعديل
administration,الادارة
administrator,مدير
admire,معجب
admission,سماح بالدخول
admit,يعترف
adolescent,مراهق
adopt,يتبنى
adult,الكبار
advance,تقدم
advanced,المتقدمة
advantage,مميزات
adventure,مفامرة
advertising,إعلان
advice,النصيحة
advise,ينصح
adviser,مستشار
advocate,يدافع عن
affair,قضية
affect,يؤثر
afford,تحمل
afraid,خائف
African,الأفريقي
African-American,الافارقه الامريكان
after,بعد، بعدما
afternoon,بعد الظهر
again,تكرارا
against,ضد
age,سن
agency,وكالة
agenda,جدول أعمال
agent,وكيلات
aggressive,عنيف
ago,منذ
agree,يوافق على
agreement,اتفاق
agricultural,الزراعة
ah,آه
ahead,امام
aid,يساعد
aide,مساعد
AIDS,الإيدز
aim,هدف، تصويب
air,هواء
aircraft,الطائرات
airline,شركة طيران
airport,مطار
album,ألبوم
alcohol,الكحول
alive,على قيد الحياة
all,الكل
alliance,تحالف
allow,السماح
ally,حليف
almost,تقريبيا
alone,وحده
along,على امتداد
already,بالفعل
also,أيضا
alter,تغيير
alternative,لبديل
although,بالرغم ان
always,دائما
AM,صباحا
amazing,مدهش
American,أمريكي
among,من بين
amount,كمية
analysis,التحليلات
analyst,المحلل
analyze,تحليل
ancient,عتيق
and,و
anger,غاضب
angle,زاوية
angry,غاضب
animal,حيوان
anniversary,ذكرى سنوية
announce,أعلن
annual,سنوي
another,اخر
answer,إجابه
anticipate,يتوقع
anxiety,القلق
any,أي
anybody,اي شخص
anymore,أي أكثر من ذلك
anyone,أي واحد
anything,اى شئ
anyway,على أي حال
anywhere,في أى مكان
apart,بعيدا، بمعزل، على حد
apartment,شقة
apparent,واضح
apparently,فيما يبدو
appeal,مناشدة
appear,يظهر
appearance,مظهر خارجي
apple,تفاح
application,تطبيق
apply,تطبيق
appoint,تعيين
appointment,موعد
appreciate,يقدر
approach,مقاربة
appropriate,ملائم
approval,موافقة
approve,يوافق
approximately,تقريبا
Arab,عرب
architect,مهندس معماري
area,منطقة
argue,تجادل
argument,جدال
arise,تنشأ
arm,ذراع
armed,مسلح
army,جيش
around,حول
arrange,رتب
arrangement,ترتيب
arrest,يقبض على
arrival,وصول
arrive,يصل
art,فن
article,مقالة - سلعة
artist,فنان
artistic,فني
as,كما
Asian,الآسيوية
aside,جانبا
ask,يطلب
asleep,نائم
aspect,وجه
assault,الاعتداءات
assert,يجزم
assess,تقييم
assessment,تقيم
asset,أصل
assign,تعيين
assignment,مهمة
assist,مساعدة
assistance,مساعدة
assistant,مساعد
associate,مساعد
association,منظمة
assume,افترض
assumption,افتراض
assure,ضم
at,في
athlete,رياضي
athletic,رياضي
atmosphere,الغلاف الجوي
attach,يربط
attack,هجوم
attempt,محاولة
attend,حضر
attention,الانتباه
attitude,سلوك
attorney,محامي
attract,جذب
attractive,ملفت للانتباه
attribute,ينسب
audience,جمهور
author,مؤلف
authority,السلطة
auto,تلقاءي
available,متوفرة
average,معدل
avoid,تجنب
award,جائزة
aware,واعي
awareness,وعي
away,بعيدا
awful,سيئ
baby,طفل
back,الى الخلف
background,معرفتي
bad,سيء
badly,بشكل سيئ
bag,حقيبة
bake,خبز
balance,الرصيد
ball,كرة
ban,المنع
band,حافظة مسافة
bank,مصرف
bar,شريط
barely,بالكاد
barrel,برميل
barrier,حاجز
base,يتمركز
baseball,البيسبول
basic,أساسي
basically,في الأساس
basis,أساس
basket,سلة
basketball,كرة سلة
bathroom,حمام
battery,البطارية
battle,معركة
be,يكون
beach,شاطئ
bean,فاصوليا
bear,يتحمل
beat,تغلب
beautiful,جميلة
beauty,جمال
because,لأن
become,أصبح
bed,سرير
bedroom,غرفة نوم
beer,بيرة
before,قبل
begin,يبدأ
beginning,بداية
behavior,سلوك
behind,خلف
being,يجرى
belief,إيمان
believe,يصدق
bell,جرس
belong,ينتمي ل
below,أدناه
belt,حزام
bench,مقاعد البدلاء
bend,يلوي
beneath,أسفل
benefit,المنفعة
beside,بجانب
besides,بجانب
best,أفضل
bet,رهان
better,أفضل
between,ما بين
beyond,وراء - فى الجانب الاخر
Bible,الكتاب المقدس
big,كبير
bike,دراجة هوائية
bill,مشروع قانون
billion,مليار
bind,ربط
biological,بيولوجي
bird,عصفور
birth,ولادة
birthday,عيد الميلاد
bit,قليل
bite,يعض
black,أسود
blade,شفرة
blame,لوم
blanket,بطانية
blind,أعمى
block,منع
blood,دم
blow,نفخ
blue,أزرق
board,مجلس
boat,قارب
body,هيئة
bomb,قنبلة
bombing,قصف
bond,رابطة
bone,عظم
book,الكتاب
boom,فقاعة
boot,حذاء طويل
border,الحدود
born,ولد
borrow,اقتراض
boss,رئيس
both,على حد سواء
bother,يزعج
bottle,زجاجة
bottom,قاع
boundary,حد
bowl,صحن
box,علبة
boy,صبي
boyfriend,حبيب
brain,مخ
branch,فرع
brand,ماركة
bread,خبز
break,استراحة
breakfast,وجبة افطار
breast,صدر
breath,يتنفس
breathe,نفس
brick,قالب طوب
bridge,كوبري
brief,نبذة
briefly,موجز
bright,مشرق
brilliant,متألق
bring,احضر
British,بريطاني
broad,واسع
broken,مكسور
brother,شقيق
brown,بنى
brush,فرشاة
buck,دولار
budget,تبرع
build,يبني
building,بناء
bullet,رصاصة
bunch,حزمة
burden,حرج
burn,يحرق
bury,دفن
bus,أوتوبيس
business,عمل
busy,مشغول
but,لكن
butter,زبدة
button,زر
buy,يشترى
buyer,مشتر
by,بواسطة
cabin,الطائرة
cabinet,خزانة
cable,كابل
cake,كيك
calculate,حساب
call,مكالمة
camera,الة تصوير
camp,معسكر
campaign,الحملة الانتخابية
campus,الحرم الجامعي
can,علبة
Canadian,كندي
cancer,سرطان
candidate,مرشح
cap,قبعة
capability,الإمكانية
capable,قادر
capacity,الاهلية
capital,رأس المال
captain,قائد المنتخب
capture,إلتقاط
car,السيارات
carbon,كربون
card,بطاقة
care,رعاية
career,مسار مهني مسار وظيفي
careful,حذر
carefully,بحرص
carrier,الناقل
carry,احمل
case,قضية
cash,السيولة النقدية
cast,يقذف
cat,قط
catch,يمسك
category,الفئة
Catholic,كاثوليكي
cause,لانى
ceiling,السقف
celebrate,احتفل
celebration,احتفال
celebrity,نجاح كبير
cell,زنزانة
center,المركز
central,وسط
century,مئة عام
CEO,المدير التنفيذي
ceremony,مراسم
certain,المؤكد
certainly,من المؤكد
chain,سلسلة
chair,كرسي
chairman,رئيس
challenge,تحد
chamber,غرفة
champion,بطل
championship,بطولة
chance,صدفة
change,يتغيرون
changing,تغيير
channel,قناة
chapter,الفصل
character,اختلاف الشخصيات
characteristic,صفة مميزة
characterize,تميز
charge,الشحنة
charity,الاعمال الخيرية
chart,جدول
chase,مطاردة
cheap,الرخيص
check,التحقق من
cheek,خد
cheese,جبنه
chef,طاه
chemical,المواد الكيميائية
chest,صدر
chicken,دجاج
chief,رئيس
child,طفل
childhood,مرحلة الطفولة
Chinese,صينى
chip,رقاقة
chocolate,شوكولاتة
choice,خيار
cholesterol,الكوليسترول
choose,يختار
Christian,مسيحي
Christmas,عيد الميلاد
church,كنيسة
cigarette,سيجارة
circle,دائرة
